team,played,wins,draws,losses,win_rate,points_per_game
Jersey,122,83,14,25,0.680327868852459,2.1557377049180326
Spain,441,291,97,53,0.6598639455782312,2.199546485260771
Brazil,531,339,117,75,0.6384180790960452,2.135593220338983
France,451,279,106,66,0.6186252771618626,2.090909090909091
Isle of Man,58,35,4,19,0.603448275862069,1.8793103448275863
Germany,482,288,108,86,0.5975103734439834,2.016597510373444
Argentina,469,277,116,76,0.5906183368869936,2.0191897654584223
Réunion,58,34,14,10,0.5862068965517241,2.0
Iran,453,262,113,78,0.5783664459161147,1.9845474613686533
Portugal,414,238,106,70,0.5748792270531401,1.9806763285024154
Netherlands,425,242,107,76,0.5694117647058824,1.96
England,431,245,114,72,0.568445475638051,1.9698375870069607
Guernsey,113,64,19,30,0.5663716814159292,1.8672566371681416
Ynys Môn,63,34,11,18,0.5396825396825397,1.7936507936507937
Morocco,404,218,106,80,0.5396039603960396,1.881188118811881
Italy,431,232,126,73,0.5382830626450116,1.9071925754060324
Japan,525,282,118,125,0.5371428571428571,1.8361904761904762
Australia,383,204,78,101,0.5326370757180157,1.8015665796344646
Croatia,379,199,104,76,0.525065963060686,1.849604221635884
Czech Republic,361,189,75,97,0.5235457063711911,1.778393351800554
Ivory Coast,414,216,114,84,0.5217391304347826,1.8405797101449275
Mexico,656,336,156,164,0.5121951219512195,1.774390243902439
Belgium,375,192,89,94,0.512,1.7733333333333334
Egypt,511,261,132,118,0.5107632093933464,1.7906066536203522
Tahiti,144,72,18,54,0.5,1.625
Denmark,390,194,101,95,0.49743589743589745,1.7512820512820513
Nigeria,414,204,113,97,0.4927536231884058,1.751207729468599
Algeria,394,194,105,95,0.49238578680203043,1.7436548223350254
Saudi Arabia,577,283,132,162,0.4904679376083189,1.7001733102253034
Romania,393,192,96,105,0.48854961832061067,1.7099236641221374
Russia,385,188,106,91,0.4883116883116883,1.7402597402597402
South Korea,555,271,154,130,0.4882882882882883,1.7423423423423423
United States,619,301,133,185,0.4862681744749596,1.6736672051696284
Fiji,177,86,36,55,0.4858757062146893,1.6610169491525424
Sweden,461,222,109,130,0.48156182212581344,1.6811279826464207
Senegal,417,199,122,96,0.47721822541966424,1.724220623501199
Uzbekistan,355,169,76,110,0.476056338028169,1.6422535211267606
Thailand,456,215,110,131,0.47149122807017546,1.655701754385965
Guadeloupe,171,80,26,65,0.4678362573099415,1.5555555555555556
Tunisia,455,212,138,105,0.46593406593406594,1.701098901098901
Norway,395,184,104,107,0.46582278481012657,1.660759493670886
New Caledonia,152,70,24,58,0.4605263157894737,1.5394736842105263
Greece,378,174,94,110,0.4603174603174603,1.6296296296296295
Switzerland,382,173,106,103,0.45287958115183247,1.6361256544502618
Turkey,398,180,103,115,0.45226130653266333,1.6155778894472361
Serbia,345,155,89,101,0.4492753623188406,1.6057971014492753
Ukraine,333,149,93,91,0.44744744744744747,1.6216216216216217
Poland,443,197,120,126,0.44469525959367945,1.6049661399548534
Colombia,452,201,134,117,0.4446902654867257,1.6305309734513274
Solomon Islands,176,78,28,70,0.4431818181818182,1.4886363636363635
China PR,442,195,107,140,0.4411764705882353,1.5656108597285068
Cameroon,429,186,141,102,0.43356643356643354,1.6293706293706294
Vietnam,294,127,58,109,0.43197278911564624,1.4931972789115646
Uruguay,424,183,120,121,0.43160377358490565,1.5778301886792452
Ghana,420,181,108,131,0.430952380952381,1.55
South Africa,455,196,145,114,0.4307692307692308,1.610989010989011
Iraq,433,186,126,121,0.4295612009237875,1.579676674364896
Qatar,502,214,127,161,0.4262948207171315,1.5318725099601593
Zambia,509,216,147,146,0.4243614931237721,1.5618860510805501
Martinique,215,91,57,67,0.4232558139534884,1.5348837209302326
Oman,475,199,125,151,0.4189473684210526,1.52
Jamaica,509,213,126,170,0.41846758349705304,1.5029469548133596
Scotland,333,139,74,120,0.4174174174174174,1.4744744744744744
Mali,384,160,99,125,0.4166666666666667,1.5078125
Slovakia,351,145,84,122,0.4131054131054131,1.4786324786324787
Austria,344,142,79,123,0.4127906976744186,1.4680232558139534
Trinidad and Tobago,459,188,92,179,0.4095860566448802,1.4291938997821352
United Arab Emirates,488,199,126,163,0.4077868852459016,1.4815573770491803
Chile,422,172,98,152,0.4075829383886256,1.4549763033175356
Dominican Republic,150,61,25,64,0.4066666666666667,1.3866666666666667
Haiti,300,122,71,107,0.4066666666666667,1.4566666666666668
Canada,332,135,80,117,0.4066265060240964,1.4608433734939759
Honduras,466,189,116,161,0.4055793991416309,1.4656652360515021
Republic of Ireland,376,152,123,101,0.40425531914893614,1.5398936170212767
Saint Kitts and Nevis,213,86,42,85,0.40375586854460094,1.408450704225352
Kosovo,102,41,23,38,0.4019607843137255,1.4313725490196079
Suriname,189,75,50,64,0.3968253968253968,1.4550264550264551
Costa Rica,513,203,132,178,0.39571150097465885,1.4444444444444444
Cape Verde,201,79,54,68,0.39303482587064675,1.4477611940298507
Uganda,405,158,124,123,0.39012345679012345,1.4765432098765432
Hungary,372,145,84,143,0.3897849462365591,1.3951612903225807
Jordan,424,165,127,132,0.3891509433962264,1.4669811320754718
Shetland,54,21,9,24,0.3888888888888889,1.3333333333333333
Tajikistan,199,77,42,80,0.3869346733668342,1.3718592964824121
Bermuda,158,61,23,74,0.3860759493670886,1.3037974683544304
Indonesia,341,131,76,134,0.3841642228739003,1.3753665689149561
New Zealand,235,90,42,103,0.3829787234042553,1.327659574468085
Israel,307,117,69,121,0.3811074918566775,1.3680781758957654
Cuba,276,105,60,111,0.3804347826086957,1.358695652173913
Guyana,184,70,34,80,0.3804347826086957,1.326086956521739
Guinea,305,116,79,110,0.380327868852459,1.4
Zimbabwe,363,138,103,122,0.38016528925619836,1.4242424242424243
Kuwait,469,178,134,157,0.3795309168443497,1.4243070362473347
Bahrain,462,175,130,157,0.3787878787878788,1.4177489177489178
Wales,307,115,72,120,0.3745928338762215,1.3583061889250814
Ecuador,410,153,114,143,0.37317073170731707,1.397560975609756
Gabon,313,116,89,108,0.3706070287539936,1.3961661341853036
Singapore,378,140,81,157,0.37037037037037035,1.3253968253968254
Bulgaria,341,126,88,127,0.36950146627565983,1.3665689149560116
Saint Martin,68,25,5,38,0.36764705882352944,1.1764705882352942
North Korea,275,101,82,92,0.36727272727272725,1.4
Bosnia and Herzegovina,284,104,68,112,0.36619718309859156,1.3380281690140845
Turkmenistan,175,64,32,79,0.3657142857142857,1.28
Malaysia,367,134,80,153,0.3651226158038147,1.3133514986376023
Guatemala,362,132,93,137,0.36464088397790057,1.350828729281768
Panama,401,146,104,151,0.3640897755610973,1.3516209476309227
Burkina Faso,371,135,107,129,0.3638814016172507,1.3800539083557952
Greenland,66,24,9,33,0.36363636363636365,1.2272727272727273
Syria,370,134,99,137,0.3621621621621622,1.354054054054054
Samoa,58,21,3,34,0.3620689655172414,1.1379310344827587
Slovenia,315,114,85,116,0.3619047619047619,1.3555555555555556
DR Congo,343,124,108,111,0.36151603498542273,1.3994169096209912
Vanuatu,150,54,21,75,0.36,1.22
India,298,107,71,120,0.35906040268456374,1.3154362416107384
Libya,248,89,61,98,0.3588709677419355,1.3225806451612903
Kenya,385,137,109,139,0.35584415584415585,1.3506493506493507
Saint Lucia,183,65,25,93,0.3551912568306011,1.2021857923497268
Saint Vincent and the Grenadines,173,61,31,81,0.35260115606936415,1.2369942196531791
Sint Maarten,57,20,10,27,0.3508771929824561,1.2280701754385965
Angola,348,121,124,103,0.34770114942528735,1.3994252873563218
Barbados,217,74,42,101,0.34101382488479265,1.2165898617511521
Finland,394,134,95,165,0.3401015228426396,1.2614213197969544
Montenegro,165,56,40,69,0.3393939393939394,1.2606060606060605
French Guiana,136,46,31,59,0.3382352941176471,1.2426470588235294
Paraguay,398,134,122,142,0.33668341708542715,1.3165829145728642
Iceland,365,122,78,165,0.33424657534246577,1.2164383561643837
Madagascar,226,75,62,89,0.33185840707964603,1.2699115044247788
Mozambique,324,107,84,133,0.33024691358024694,1.25
Peru,387,126,100,161,0.32558139534883723,1.2351421188630491
Myanmar,256,83,44,129,0.32421875,1.14453125
Georgia,304,98,64,142,0.3223684210526316,1.1776315789473684
Puerto Rico,121,39,21,61,0.32231404958677684,1.140495867768595
Papua New Guinea,103,33,22,48,0.32038834951456313,1.174757281553398
Ethiopia,251,80,61,110,0.3187250996015936,1.199203187250996
Antigua and Barbuda,199,63,37,99,0.3165829145728643,1.135678391959799
Curaçao,177,56,48,73,0.3163841807909605,1.2203389830508475
Rwanda,270,85,73,112,0.3148148148148148,1.2148148148148148
Albania,309,97,67,145,0.313915857605178,1.1585760517799353
Zanzibar,102,32,29,41,0.3137254901960784,1.2254901960784315
North Macedonia,304,95,79,130,0.3125,1.1973684210526316
Hong Kong,250,78,54,118,0.312,1.152
Burundi,200,62,49,89,0.31,1.175
Philippines,246,76,47,123,0.3089430894308943,1.1178861788617886
Kyrgyzstan,187,57,30,100,0.3048128342245989,1.0748663101604279
Sudan,342,104,86,152,0.30409356725146197,1.1637426900584795
Togo,306,93,78,135,0.30392156862745096,1.1666666666666667
El Salvador,406,122,95,189,0.30049261083743845,1.1354679802955665
Grenada,200,60,42,98,0.3,1.11
Equatorial Guinea,161,48,33,80,0.2981366459627329,1.0993788819875776
Northern Ireland,303,90,76,137,0.297029702970297,1.141914191419142
Sierra Leone,192,57,54,81,0.296875,1.171875
Palestine,216,64,61,91,0.2962962962962963,1.1712962962962963
Belarus,299,88,77,134,0.29431438127090304,1.140468227424749
Malawi,375,110,111,154,0.29333333333333333,1.176
Congo,236,68,64,104,0.288135593220339,1.1355932203389831
Maldives,217,62,36,119,0.2857142857142857,1.023041474654378
Gambia,176,50,54,72,0.2840909090909091,1.1590909090909092
Lebanon,300,84,88,128,0.28,1.1333333333333333
Tanzania,368,103,105,160,0.2798913043478261,1.125
Botswana,313,87,91,135,0.2779552715654952,1.1246006389776357
Afghanistan,123,34,31,58,0.2764227642276423,1.08130081300813
